Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,date,year,month,day
Hubei,Mainland China,2020-02-13T14:13:06,48206,1310,3459,Feb13,2020,2,13
Guangdong,Mainland China,2020-02-13T13:33:01,1241,2,314,Feb13,2020,2,13
Henan,Mainland China,2020-02-13T14:53:02,1169,10,296,Feb13,2020,2,13
Zhejiang,Mainland China,2020-02-13T14:13:06,1145,0,360,Feb13,2020,2,13
Hunan,Mainland China,2020-02-13T11:53:02,968,2,339,Feb13,2020,2,13
Anhui,Mainland China,2020-02-13T13:33:01,910,5,157,Feb13,2020,2,13
Jiangxi,Mainland China,2020-02-13T01:13:08,872,1,170,Feb13,2020,2,13
Jiangsu,Mainland China,2020-02-13T10:33:23,570,0,139,Feb13,2020,2,13
Chongqing,Mainland China,2020-02-13T23:23:05,529,4,128,Feb13,2020,2,13
Shandong,Mainland China,2020-02-13T13:33:01,509,2,105,Feb13,2020,2,13
Sichuan,Mainland China,2020-02-13T13:33:01,451,1,104,Feb13,2020,2,13
Heilongjiang,Mainland China,2020-02-13T12:13:06,395,9,33,Feb13,2020,2,13
Beijing,Mainland China,2020-02-13T14:13:06,366,3,69,Feb13,2020,2,13
Shanghai,Mainland China,2020-02-13T06:13:15,315,1,62,Feb13,2020,2,13
Fujian,Mainland China,2020-02-13T10:33:23,279,0,57,Feb13,2020,2,13
Hebei,Mainland China,2020-02-13T10:33:23,265,3,68,Feb13,2020,2,13
Shaanxi,Mainland China,2020-02-13T10:33:23,229,0,46,Feb13,2020,2,13
Guangxi,Mainland China,2020-02-13T00:23:10,222,2,33,Feb13,2020,2,13
Diamond Princess cruise ship,Others,2020-02-12T04:23:38,175,0,0,Feb13,2020,2,13
Hainan,Mainland China,2020-02-13T10:43:03,157,4,30,Feb13,2020,2,13
Yunnan,Mainland China,2020-02-13T08:43:08,156,0,27,Feb13,2020,2,13
Guizhou,Mainland China,2020-02-13T10:33:23,135,1,27,Feb13,2020,2,13
Shanxi,Mainland China,2020-02-13T23:23:05,126,0,36,Feb13,2020,2,13
Tianjin,Mainland China,2020-02-13T23:43:02,119,3,21,Feb13,2020,2,13
Liaoning,Mainland China,2020-02-13T14:33:02,117,1,22,Feb13,2020,2,13
Gansu,Mainland China,2020-02-13T15:53:03,90,2,39,Feb13,2020,2,13
Jilin,Mainland China,2020-02-13T13:33:01,84,1,24,Feb13,2020,2,13
Ningxia,Mainland China,2020-02-13T01:23:08,64,0,24,Feb13,2020,2,13
Xinjiang,Mainland China,2020-02-13T10:33:23,63,1,6,Feb13,2020,2,13
Inner Mongolia,Mainland China,2020-02-13T01:23:08,61,0,6,Feb13,2020,2,13
,Singapore,2020-02-13T14:33:02,58,0,15,Feb13,2020,2,13
Hong Kong,Hong Kong,2020-02-13T14:53:02,53,1,1,Feb13,2020,2,13
,Thailand,2020-02-13T17:53:03,33,0,12,Feb13,2020,2,13
,Japan,2020-02-13T12:23:05,28,1,9,Feb13,2020,2,13
,South Korea,2020-02-12T14:43:03,28,0,7,Feb13,2020,2,13
,Malaysia,2020-02-13T10:53:02,19,0,3,Feb13,2020,2,13
Qinghai,Mainland China,2020-02-13T08:43:08,18,0,11,Feb13,2020,2,13
Taiwan,Taiwan,2020-02-09T09:13:11,18,0,1,Feb13,2020,2,13
,Germany,2020-02-13T15:13:11,16,0,1,Feb13,2020,2,13
,Vietnam,2020-02-13T06:33:02,16,0,7,Feb13,2020,2,13
,France,2020-02-12T18:53:02,11,0,2,Feb13,2020,2,13
Macau,Macau,2020-02-13T14:13:06,10,0,3,Feb13,2020,2,13
,UK,2020-02-12T19:03:06,9,0,1,Feb13,2020,2,13
,United Arab Emirates,2020-02-12T00:33:02,8,0,1,Feb13,2020,2,13
Queensland,Australia,2020-02-09T19:33:02,5,0,0,Feb13,2020,2,13
New South Wales,Australia,2020-02-13T17:53:03,4,0,4,Feb13,2020,2,13
Victoria,Australia,2020-02-13T17:53:03,4,0,4,Feb13,2020,2,13
British Columbia,Canada,2020-02-07T05:43:03,4,0,0,Feb13,2020,2,13
,India,2020-02-13T18:53:02,3,0,0,Feb13,2020,2,13
,Italy,2020-02-07T17:53:02,3,0,0,Feb13,2020,2,13
,Philippines,2020-02-12T07:43:02,3,1,1,Feb13,2020,2,13
South Australia,Australia,2020-02-02T22:33:07,2,0,0,Feb13,2020,2,13
"Toronto, ON",Canada,2020-02-04T00:13:06,2,0,0,Feb13,2020,2,13
,Russia,2020-02-12T14:43:03,2,0,2,Feb13,2020,2,13
,Spain,2020-02-09T20:33:03,2,0,0,Feb13,2020,2,13
"Chicago, IL",US,2020-02-09T19:03:03,2,0,2,Feb13,2020,2,13
"San Benito, CA",US,2020-02-03T03:53:02,2,0,0,Feb13,2020,2,13
"San Diego County, CA",US,2020-02-13T03:13:08,2,0,0,Feb13,2020,2,13
"Santa Clara, CA",US,2020-02-03T00:43:02,2,0,0,Feb13,2020,2,13
,Belgium,2020-02-04T15:43:02,1,0,0,Feb13,2020,2,13
,Cambodia,2020-02-12T07:43:02,1,0,1,Feb13,2020,2,13
"London, ON",Canada,2020-02-12T18:53:03,1,0,1,Feb13,2020,2,13
,Finland,2020-02-12T00:03:12,1,0,1,Feb13,2020,2,13
Tibet,Mainland China,2020-02-12T06:43:02,1,0,1,Feb13,2020,2,13
,Nepal,2020-02-12T14:43:03,1,0,1,Feb13,2020,2,13
,Sri Lanka,2020-02-08T03:43:03,1,0,1,Feb13,2020,2,13
,Sweden,2020-02-01T02:13:26,1,0,0,Feb13,2020,2,13
"Boston, MA",US,2020-02-01T19:43:03,1,0,0,Feb13,2020,2,13
"Los Angeles, CA",US,2020-02-01T19:53:03,1,0,0,Feb13,2020,2,13
"Madison, WI",US,2020-02-05T21:53:02,1,0,0,Feb13,2020,2,13
"Orange, CA",US,2020-02-01T19:53:03,1,0,0,Feb13,2020,2,13
"San Antonio, TX",US,2020-02-13T18:53:02,1,0,0,Feb13,2020,2,13
"Seattle, WA",US,2020-02-09T07:03:04,1,0,1,Feb13,2020,2,13
"Tempe, AZ",US,2020-02-01T19:43:03,1,0,0,Feb13,2020,2,13
