Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,date,year,month,day
Hubei,Mainland China,2020-02-26T14:13:10,65187,2615,20969,Feb26,2020,2,26
Guangdong,Mainland China,2020-02-26T10:33:02,1347,7,851,Feb26,2020,2,26
Henan,Mainland China,2020-02-26T10:33:02,1271,19,1033,Feb26,2020,2,26
,South Korea,2020-02-26T11:03:11,1261,12,22,Feb26,2020,2,26
Zhejiang,Mainland China,2020-02-26T10:33:02,1205,1,867,Feb26,2020,2,26
Hunan,Mainland China,2020-02-26T10:13:11,1016,4,783,Feb26,2020,2,26
Anhui,Mainland China,2020-02-26T10:13:11,989,6,744,Feb26,2020,2,26
Jiangxi,Mainland China,2020-02-26T01:13:04,934,1,719,Feb26,2020,2,26
Shandong,Mainland China,2020-02-26T12:43:02,756,6,377,Feb26,2020,2,26
Diamond Princess cruise ship,Others,2020-02-26T19:33:02,705,4,10,Feb26,2020,2,26
Jiangsu,Mainland China,2020-02-26T10:13:11,631,0,478,Feb26,2020,2,26
Chongqing,Mainland China,2020-02-26T23:43:02,576,6,384,Feb26,2020,2,26
Sichuan,Mainland China,2020-02-26T10:13:11,531,3,307,Feb26,2020,2,26
Heilongjiang,Mainland China,2020-02-26T10:33:02,480,12,249,Feb26,2020,2,26
,Italy,2020-02-26T23:43:03,453,12,3,Feb26,2020,2,26
Beijing,Mainland China,2020-02-26T00:53:02,400,4,235,Feb26,2020,2,26
Shanghai,Mainland China,2020-02-26T23:53:01,337,3,272,Feb26,2020,2,26
Hebei,Mainland China,2020-02-26T10:33:02,312,6,261,Feb26,2020,2,26
Fujian,Mainland China,2020-02-26T10:33:02,294,1,218,Feb26,2020,2,26
Guangxi,Mainland China,2020-02-26T14:13:10,252,2,147,Feb26,2020,2,26
Shaanxi,Mainland China,2020-02-26T14:13:10,245,1,192,Feb26,2020,2,26
,Japan,2020-02-26T23:43:03,189,2,22,Feb26,2020,2,26
Yunnan,Mainland China,2020-02-26T05:13:16,174,2,144,Feb26,2020,2,26
Hainan,Mainland China,2020-02-26T12:43:02,168,5,129,Feb26,2020,2,26
Guizhou,Mainland China,2020-02-25T08:03:07,146,2,104,Feb26,2020,2,26
,Iran,2020-02-26T23:43:03,139,19,49,Feb26,2020,2,26
Tianjin,Mainland China,2020-02-26T12:43:02,135,3,96,Feb26,2020,2,26
Shanxi,Mainland China,2020-02-26T14:13:10,133,0,104,Feb26,2020,2,26
Liaoning,Mainland China,2020-02-26T00:13:05,121,1,88,Feb26,2020,2,26
Jilin,Mainland China,2020-02-26T14:13:10,93,1,65,Feb26,2020,2,26
,Singapore,2020-02-26T19:33:02,93,0,62,Feb26,2020,2,26
Hong Kong,Hong Kong,2020-02-26T23:43:02,91,2,24,Feb26,2020,2,26
Gansu,Mainland China,2020-02-26T14:13:10,91,2,81,Feb26,2020,2,26
Xinjiang,Mainland China,2020-02-26T14:23:03,76,2,34,Feb26,2020,2,26
Inner Mongolia,Mainland China,2020-02-26T15:03:05,75,0,38,Feb26,2020,2,26
Ningxia,Mainland China,2020-02-26T03:53:01,71,0,65,Feb26,2020,2,26
Unassigned Location (From Diamond Princess),US,2020-02-26T20:03:06,42,0,0,Feb26,2020,2,26
,Thailand,2020-02-26T07:23:03,40,0,22,Feb26,2020,2,26
,Bahrain,2020-02-26T21:03:07,33,0,0,Feb26,2020,2,26
Taiwan,Taiwan,2020-02-26T12:23:04,32,1,5,Feb26,2020,2,26
,Germany,2020-02-26T23:43:03,27,0,15,Feb26,2020,2,26
,Kuwait,2020-02-26T19:23:04,26,0,0,Feb26,2020,2,26
,Malaysia,2020-02-24T11:53:02,22,0,18,Feb26,2020,2,26
,France,2020-02-26T20:03:06,18,2,11,Feb26,2020,2,26
Qinghai,Mainland China,2020-02-21T04:43:02,18,0,18,Feb26,2020,2,26
,Vietnam,2020-02-25T08:53:02,16,0,16,Feb26,2020,2,26
,Spain,2020-02-26T20:43:02,13,0,2,Feb26,2020,2,26
,UK,2020-02-24T08:33:02,13,0,8,Feb26,2020,2,26
,United Arab Emirates,2020-02-22T14:53:02,13,0,4,Feb26,2020,2,26
Macau,Macau,2020-02-25T15:23:04,10,0,7,Feb26,2020,2,26
From Diamond Princess,Australia,2020-02-22T17:03:05,7,0,0,Feb26,2020,2,26
British Columbia,Canada,2020-02-25T02:23:05,7,0,0,Feb26,2020,2,26
Queensland,Australia,2020-02-21T05:43:02,5,0,1,Feb26,2020,2,26
,Iraq,2020-02-26T04:53:02,5,0,0,Feb26,2020,2,26
New South Wales,Australia,2020-02-13T17:53:03,4,0,4,Feb26,2020,2,26
Victoria,Australia,2020-02-13T17:53:03,4,0,4,Feb26,2020,2,26
,Oman,2020-02-26T04:53:02,4,0,0,Feb26,2020,2,26
"Toronto, ON",Canada,2020-02-24T14:43:03,3,0,2,Feb26,2020,2,26
,Croatia,2020-02-26T20:03:06,3,0,0,Feb26,2020,2,26
,India,2020-02-16T07:43:02,3,0,3,Feb26,2020,2,26
,Philippines,2020-02-12T07:43:02,3,1,1,Feb26,2020,2,26
South Australia,Australia,2020-02-17T08:13:09,2,0,2,Feb26,2020,2,26
,Austria,2020-02-26T00:13:06,2,0,0,Feb26,2020,2,26
,Finland,2020-02-26T19:03:08,2,0,1,Feb26,2020,2,26
,Israel,2020-02-26T20:33:02,2,0,0,Feb26,2020,2,26
,Lebanon,2020-02-26T19:33:02,2,0,0,Feb26,2020,2,26
,Pakistan,2020-02-26T23:53:02,2,0,0,Feb26,2020,2,26
,Russia,2020-02-12T14:43:03,2,0,2,Feb26,2020,2,26
,Sweden,2020-02-26T18:53:02,2,0,0,Feb26,2020,2,26
"Chicago, IL",US,2020-02-09T19:03:03,2,0,2,Feb26,2020,2,26
"San Benito, CA",US,2020-02-03T03:53:02,2,0,0,Feb26,2020,2,26
"San Diego County, CA",US,2020-02-21T05:43:02,2,0,1,Feb26,2020,2,26
"Santa Clara, CA",US,2020-02-21T05:23:04,2,0,1,Feb26,2020,2,26
,Afghanistan,2020-02-24T23:33:02,1,0,0,Feb26,2020,2,26
,Algeria,2020-02-25T23:43:03,1,0,0,Feb26,2020,2,26
,Belgium,2020-02-17T04:23:06,1,0,1,Feb26,2020,2,26
,Brazil,2020-02-26T23:53:02,1,0,0,Feb26,2020,2,26
,Cambodia,2020-02-12T07:43:02,1,0,1,Feb26,2020,2,26
"London, ON",Canada,2020-02-12T18:53:03,1,0,1,Feb26,2020,2,26
,Egypt,2020-02-21T18:53:02,1,0,0,Feb26,2020,2,26
,Georgia,2020-02-26T19:03:08,1,0,0,Feb26,2020,2,26
,Greece,2020-02-26T15:53:05,1,0,0,Feb26,2020,2,26
Tibet,Mainland China,2020-02-12T06:43:02,1,0,1,Feb26,2020,2,26
,Nepal,2020-02-12T14:43:03,1,0,1,Feb26,2020,2,26
,North Macedonia,2020-02-26T19:03:08,1,0,0,Feb26,2020,2,26
,Norway,2020-02-26T20:23:12,1,0,0,Feb26,2020,2,26
,Romania,2020-02-26T23:43:03,1,0,0,Feb26,2020,2,26
,Sri Lanka,2020-02-08T03:43:03,1,0,1,Feb26,2020,2,26
,Switzerland,2020-02-25T19:13:21,1,0,0,Feb26,2020,2,26
"Boston, MA",US,2020-02-01T19:43:03,1,0,0,Feb26,2020,2,26
"Humboldt County, CA",US,2020-02-21T05:13:09,1,0,0,Feb26,2020,2,26
"Los Angeles, CA",US,2020-02-01T19:53:03,1,0,0,Feb26,2020,2,26
"Madison, WI",US,2020-02-05T21:53:02,1,0,0,Feb26,2020,2,26
"Orange, CA",US,2020-02-01T19:53:03,1,0,0,Feb26,2020,2,26
"Sacramento County, CA",US,2020-02-21T23:13:16,1,0,0,Feb26,2020,2,26
"San Antonio, TX",US,2020-02-13T18:53:02,1,0,0,Feb26,2020,2,26
"Seattle, WA",US,2020-02-09T07:03:04,1,0,1,Feb26,2020,2,26
"Tempe, AZ",US,2020-02-25T21:23:03,1,0,1,Feb26,2020,2,26
"Lackland, TX (From Diamond Princess)",US,2020-02-24T23:33:02,0,0,0,Feb26,2020,2,26
"Omaha, NE (From Diamond Princess)",US,2020-02-24T23:33:02,0,0,0,Feb26,2020,2,26
"Travis, CA (From Diamond Princess)",US,2020-02-24T23:33:02,0,0,0,Feb26,2020,2,26
